Time,Symbol,Price,Quantity,Type,Status,Value,maxPerf,maxLoss,maxDd,curPerf,pastPerfAvg,successRatio
2015-01-02T15:00:00Z,AMZN,313.5,31,Market,Filled,9718.5,0,0,0,0,0,1 
2015-01-02T15:00:00Z,GRUB,37.05,269,Market,Filled,9966.45,0,0,0,0,0,1 
2015-01-02T15:00:00Z,OSTK,24.47,407,Market,Filled,9959.29,0,0,0,0,0,1 
2015-01-02T15:00:00Z,STMP,48.72,204,Market,Filled,9938.88,0,0,0,0,0,1 
2015-01-02T15:00:00Z,W,20.61,483,Market,Filled,9954.63,0,0,0,0,0,1 
2015-01-02T16:00:00Z,AMZN,308.82,-31,Market,Filled,-9573.42,-0.0149282296650717703349282297,-0.0149282296650717703349282297,   0,-0.0149282296650717703349282297,-0.0149282296650717703349282297,   1 
2015-01-02T16:00:00Z,JD,23.73,419,Market,Filled,9942.87,0,0,0,0,0,1 
2015-01-02T16:00:00Z,NETE,117,85,Market,Filled,9945,0,0,0,0,0,1 
2015-01-02T16:00:00Z,STMP,47.6,-204,Market,Filled,-9710.4,-0.0229885057471264367816091954,-0.0229885057471264367816091954,   0,-0.0229885057471264367816091954,-0.0229885057471264367816091954,   1 
2015-01-02T17:00:00Z,OSTK,23.55,-407,Market,Filled,-9584.85,-0.0269718022067838169186759297,-0.0375970576215774417654270535,0.0106252554147936248467511238,-0.0375970576215774417654270535,-0.0375970576215774417654270535,   1 
2015-01-02T18:00:00Z,GRUB,36.41,-269,Market,Filled,-9794.29,-0.0137651821862348178137651822,-0.0172739541160593792172739541,0.0035087719298245614035087719,-0.0172739541160593792172739541,-0.0172739541160593792172739541,   1 
2015-01-02T20:00:00Z,NETE,114,-85,Market,Filled,-9690,-0.0085470085470085470085470085,-0.0256410256410256410256410256,0.0170940170940170940170940171,-0.0256410256410256410256410256,-0.0256410256410256410256410256,   1 
2015-01-02T20:00:00Z,PETS,11.810547072,841,Market,Filled,9932.670087552,0,0,0,0,0,1 
2015-01-02T21:00:00Z,GRUB,36.43,271,Market On Open,Filled,9872.53,0,0,0,0,0,1 
2015-01-02T21:00:00Z,NETE,116,84,Market On Open,Filled,9744,0,0,0,0,0,1 
2015-01-05T15:00:00Z,PETS,11.59317504,-841,Market,Filled,-9749.86020864,-0.0122699386503067484662576687,-0.0184049079754601226993865031,0.0061349693251533742331288344,-0.0184049079754601226993865031,-0.0184049079754601226993865031,   1 
2015-01-05T18:00:00Z,OSTK,24.14,412,Market,Filled,9945.68,0,0,0,0,0,1 
2015-01-05T19:00:00Z,NETE,115,-84,Market,Filled,-9660,0.0169491525423728813559322034,-0.0254237288135593220338983051,0.0423728813559322033898305085,-0.0254237288135593220338983051,-0.0255323772272924815297696654,   1 
2015-01-05T20:00:00Z,OSTK,23.78,-412,Market,Filled,-9797.36,-0.012013256006628003314001657,-0.0149130074565037282518641259,0.0028997514498757249378624689,-0.0149130074565037282518641259,-0.0350766076032359180416978393,   0 
2015-01-06T15:00:00Z,NETE,117,85,Market,Filled,9945,0,0,0,0,0,1 
2015-01-06T16:00:00Z,PETS,11.75419136,848,Market,Filled,9967.55427328,0,0,0,0,0,1 
2015-01-06T17:00:00Z,NETE,110,-85,Market,Filled,-9350,0.0085470085470085470085470085,-0.0598290598290598290598290598,0.0683760683760683760683760683,-0.0598290598290598290598290598,-0.0323482543821526872374330001,   0 
2015-01-06T17:00:00Z,PETS,11.51266688,-848,Market,Filled,-9762.74151424,-0.0205479452054794520547945205,-0.0205479452054794520547945205,   0,-0.0205479452054794520547945205,-0.0186430232232400481833207273,   0 
2015-01-06T18:00:00Z,GRUB,37.08,-271,Market,Filled,-10048.68,0.0270713699753896636587366694,-0.0065627563576702214930270714,0.0270713699753896636587366694,0.0139458572600492206726825267,-0.0094690012720322292447848339,0.25 
2015-01-06T19:00:00Z,JD,24.25,-419,Market,Filled,-10160.75,0.0505689001264222503160556258,   0,0.0286557100716392751790981880,0.0219131900547829751369574378,0.0219131900547829751369574378,   1 
2015-01-06T20:00:00Z,BABA,102.96,96,Market,Filled,9884.16,0,0,0,0,0,1 
2015-01-06T20:00:00Z,GRUB,37.81,262,Market,Filled,9906.22,0,0,0,0,0,1 
2015-01-06T20:00:00Z,JD,24.65,403,Market,Filled,9933.95,0,0,0,0,0,1 
2015-01-07T15:00:00Z,GRPN,161,61,Market,Filled,9821,0,0,0,0,0,1 
2015-01-07T16:00:00Z,EXPE,80.24886585,123,Market,Filled,9870.61049955,0,0,0,0,0,1 
2015-01-07T16:00:00Z,NETE,115,86,Market,Filled,9890,0,0,0,0,0,1 
2015-01-07T17:00:00Z,GRUB,37.43,-262,Market,Filled,-9806.66,-0.0010579211848717270563343031,-0.0100502512562814070351758794,0.0089923300714096799788415763,-0.0100502512562814070351758794,-0.005663399847393517223605448,0.333333333333333 
2015-01-07T17:00:00Z,NETE,112,-86,Market,Filled,-9632,-0.0260869565217391304347826087,-0.0260869565217391304347826087,   0,-0.0260869565217391304347826087,-0.0461332501936776070895451883,   0 
2015-01-07T17:00:00Z,PETS,11.63342912,854,Market,Filled,9934.94846848,0,0,0,0,0,1 
2015-01-07T18:00:00Z,EXPE,80.45792151,-123,Market,Filled,-9896.32434573,0.0026050917702782711663706335,   0,   0,0.0026050917702782711663706335,0.0026050917702782711663706335,   1 
2015-01-07T18:00:00Z,GRUB,37.29,266,Market,Filled,9919.14,0,0,0,0,0,1 
2015-01-07T18:00:00Z,OSTK,23.5,423,Market,Filled,9940.5,0,0,0,0,0,1 
2015-01-07T20:00:00Z,STMP,46.64,212,Market,Filled,9887.68,0,0,0,0,0,1 
2015-01-07T21:00:00Z,BABA,103.06,-96,Market On Open,Filled,-9893.76,0.010975135975135975135975136,-0.0080613830613830613830613831,0.0190365190365190365190365191,-0.0080613830613830613830613831,-0.0080613830613830613830613831,   1 
2015-01-07T21:00:00Z,GRUB,37.29,-266,Market On Open,Filled,-9919.14,0.0010726736390453204612496648,-0.0021453472780906409224993296,0.0032180209171359613837489944,-0.0021453472780906409224993296,-0.0051608209089216777520188597,0.285714285714286 
2015-01-07T21:00:00Z,OSTK,23.63,-423,Market On Open,Filled,-9995.49,-0.0004255319148936170212765957,-0.0063829787234042553191489362,0.0059574468085106382978723405,-0.0025531914893617021276595745,-0.0136770258597895256394436708,   0 
2015-01-08T15:00:00Z,BABA,103.96,95,Market,Filled,9876.2,0,0,0,0,0,1 
2015-01-08T15:00:00Z,FLWS,7.85,1266,Market,Filled,9938.1,0,0,0,0,0,1 
2015-01-08T15:00:00Z,CPRT,9.0775,1094,Market,Filled,9930.785,0,0,0,0,0,1 
2015-01-08T15:00:00Z,OSTK,23.73,418,Market,Filled,9919.14,0,0,0,0,0,1 
2015-01-08T15:00:00Z,W,22,-483,Market,Filled,-10626,0.0965550703541969917515769044,-0.013100436681222707423580786,0.0291120815138282387190684134,0.067442988840368753032508491,0.067442988840368753032508491,   1 
2015-01-08T16:00:00Z,EBAY,23.055093415843,431,Market,Filled,9936.7452622284,0,0,0,0,0,1 
2015-01-08T16:00:00Z,EXPE,82.39643763,120,Market,Filled,9887.5725156,0,0,0,0,0,1 
2015-01-08T16:00:00Z,MELI,123.651968935,80,Market,Filled,9892.1575148,0,0,0,0,0,1 
2015-01-08T16:00:00Z,NETE,117,85,Market,Filled,9945,0,0,0,0,0,1 
2015-01-08T16:00:00Z,TRIP,64.090085285,155,Market,Filled,9933.963219175,0,0,0,0,0,1 
2015-01-08T17:00:00Z,AMZN,300.78,33,Market,Filled,9925.74,0,0,0,0,0,1 
2015-01-08T17:00:00Z,TZOO,11.69,853,Market,Filled,9971.57,0,0,0,0,0,1 
2015-01-08T18:00:00Z,GRUB,37.89,262,Market,Filled,9927.18,0,0,0,0,0,1 
2015-01-08T18:00:00Z,JD,24.6,-403,Market,Filled,-9913.8,0.014198782961460446247464503,-0.0048681541582150101419878296,0.016227180527383367139959432,-0.002028397565922920892494929,0.0099423962444300271222312544,   1 
2015-01-08T18:00:00Z,PETS,11.577073408,-854,Market,Filled,-9886.820690432,0.0179930795847750865051903114,-0.0048442906574394463667820069,0.0228373702422145328719723183,-0.0048442906574394463667820069,-0.0185489723046715856149116657,   0 
2015-01-08T19:00:00Z,JD,24.99,398,Market,Filled,9946.02,0,0,0,0,0,1 
2015-01-08T20:00:00Z,GRPN,158.2,-61,Market,Filled,-9650.2,0.0124223602484472049689440994,-0.0173913043478260869565217391,0.0298136645962732919254658385,-0.0173913043478260869565217391,-0.0173913043478260869565217391,   1 
2015-01-08T21:00:00Z,BKNG,1083.5,9,Market On Open,Filled,9751.5,0,0,0,0,0,1 
2015-01-08T21:00:00Z,PETS,11.665632384,849,Market On Open,Filled,9904.121894016,0,0,0,0,0,1 
2015-01-09T15:00:00Z,NETE,118,-85,Market,Filled,-10030,0.1367521367521367521367521368,-0.0085470085470085470085470085,0.1452991452991452991452991453,0.0085470085470085470085470085,-0.0327461910070605722779635823, 0.1 
2015-01-09T15:00:00Z,PETS,11.51266688,-849,Market,Filled,-9774.25418112,-0.0165061898211829436038514443,-0.0165061898211829436038514443,   0,-0.0165061898211829436038514443,-0.0154326733026377995032964588,   0 
2015-01-09T15:00:00Z,STMP,46.54,-212,Market,Filled,-9866.48,0.0214408233276157804459691252,-0.0021440823327615780445969125,0.0235849056603773584905660377,-0.0021440823327615780445969125,-0.0209040634056899509079079671,   0 
2015-01-09T16:00:00Z,JD,24.88,-398,Market,Filled,-9902.24,0.0136054421768707482993197279,-0.0044017607042817126850740296,0.0180072028811524609843937575,-0.0044017607042817126850740296,0.0051610105948594471864628264,0.333333333333333 
2015-01-09T16:00:00Z,MELI,121.7612055,-80,Market,Filled,-9740.89644,-0.0021615563205507965735329437,-0.0152910095268593387238811945,0.0131294532063085421503482508,-0.0152910095268593387238811945,-0.0152910095268593387238811945,   1 
2015-01-09T17:00:00Z,AMZN,299.55,-33,Market,Filled,-9885.15,0.0054524901921670323824722388,-0.0062171686947270430214774919,0.0116696588868940754039497307,-0.0040893676441252742868541791,-0.0138443434629771207301208246,   0 
2015-01-09T17:00:00Z,FLWS,7.79,-1266,Market,Filled,-9862.14,0.0254777070063694267515923567,-0.0114649681528662420382165605,0.0369426751592356687898089172,-0.007643312101910828025477707,-0.007643312101910828025477707,   1 
2015-01-09T17:00:00Z,BKNG,1073.16,-9,Market,Filled,-9658.44,-0.0071662741838666481968878423,-0.0117837188899662926536454726,0.0046174447060996444567576303,-0.0089486078404211109571962876,-0.0089486078404211109571962876,   1 
2015-01-09T17:00:00Z,JD,25.21,393,Market,Filled,9907.53,0,0,0,0,0,1 
2015-01-09T17:00:00Z,NETE,119,83,Market,Filled,9877,0,0,0,0,0,1 
2015-01-09T18:00:00Z,JD,24.95,-393,Market,Filled,-9805.35,-0.0103133677112257040856802856,-0.0103133677112257040856802856,   0,-0.0103133677112257040856802856,0.0012924160183381593684270484,0.25 
2015-01-09T19:00:00Z,BABA,103.88,-95,Market,Filled,-9868.6,0.0102924201616006156213928434,-0.0007695267410542516352443247,0.0110619469026548672566371681,-0.0007695267410542516352443247,-0.0044154549012186565091528539,   1 
2015-01-09T19:00:00Z,FLWS,7.87,1259,Market,Filled,9908.33,0,0,0,0,0,1 
2015-01-09T20:00:00Z,JD,25,397,Market,Filled,9925,0,0,0,0,0,1 
2015-01-09T21:00:00Z,EBAY,22.886987630666,-431,Market On Open,Filled,-9864.2916688172,0.0032011381824648764004979548,-0.0106704606082162546683265161,0.0138715987906811310688244709,-0.0106704606082162546683265161,-0.0106704606082162546683265161,   1 
2015-01-09T21:00:00Z,GRUB,38.15,-262,Market On Open,Filled,-9995.3,0.0153074689891792029559250462,   0,0.0102929532858273950910530483,0.0095011876484560570071258907,-0.0015786646432208230807230162, 0.3 
2015-01-09T21:00:00Z,OSTK,23.52,-418,Market On Open,Filled,-9831.36,0.0189633375474083438685208597,-0.0113780025284450063211125158,0.0303413400758533501896333755,-0.0113780025284450063211125158,-0.0133235253669836534463685098,   0 
2015-01-12T15:00:00Z,FLWS,7.66,-1259,Market,Filled,-9643.94,0.0038119440914866581956797967,-0.0266836086404066073697585769,0.0304955527318932655654383736,-0.0266836086404066073697585769,-0.0139900776147427544735713303,   0 
2015-01-12T15:00:00Z,CPRT,8.9675,-1094,Market,Filled,-9810.445,0.0022032497934453318645001377,-0.0121178738639493252547507574,0.0143211236573946571192508951,-0.0121178738639493252547507574,-0.0121178738639493252547507574,   1 
2015-01-12T15:00:00Z,EXPE,81.5317074,-120,Market,Filled,-9783.804888,0.0155691385076692423019259601,-0.0104947526236881559220389805,0.0260638911313573982239649406,-0.0104947526236881559220389805,0.0004217843712838666516356978,0.833333333333333 
2015-01-12T15:00:00Z,JD,24.35,-397,Market,Filled,-9666.95,-0.0024,-0.026,0.0236,-0.026,-0.0051906172729788444353286820,0.166666666666667 
2015-01-12T15:00:00Z,TZOO,11.51,-853,Market,Filled,-9818.03,0.0111206159110350727117194183,-0.0153977758768177929854576561,0.0265183917878528656971770744,-0.0153977758768177929854576561,-0.0153977758768177929854576561,   1 
2015-01-12T15:00:00Z,TRIP,64.81039844,-155,Market,Filled,-10045.6117582,0.0353822672401831552657138893,   0,0.0241431941168308588871930068,0.0112390731233522963785208825,0.0112390731233522963785208825,   1 
2015-01-12T16:00:00Z,W,22.69,435,Market,Filled,9870.15,0,0,0,0,0,1 
2015-01-12T17:00:00Z,OSTK,24.16,408,Market,Filled,9857.28,0,0,0,0,0,1 
2015-01-12T17:00:00Z,STMP,46.9,210,Market,Filled,9849,0,0,0,0,0,1 
2015-01-12T19:00:00Z,NETE,118,-83,Market,Filled,-9794,0.0168067226890756302521008403,-0.0084033613445378151260504202,0.0252100840336134453781512605,-0.0084033613445378151260504202,-0.0207660143210015332777481115, 0.2 
2015-01-12T19:00:00Z,STMP,46.44,-210,Market,Filled,-9752.4,-0.001066098081023454157782516,-0.0098081023454157782515991471,0.0087420042643923240938166311,-0.0098081023454157782515991471,-0.0070793690168999698126995925,   0 
2015-01-12T21:00:00Z,OSTK,24.01,-408,Market On Open,Filled,-9796.08,   0,-0.0144867549668874172185430464,0.0144867549668874172185430464,-0.0144867549668874172185430464,-0.0125738991324102779568860798,   0 
2015-01-13T15:00:00Z,EBAY,23.116595532371,426,Market,Filled,9847.6696967902,0,0,0,0,0,1 
2015-01-13T15:00:00Z,OSTK,24.03,410,Market,Filled,9852.3,0,0,0,0,0,1 
2015-01-13T15:00:00Z,PETS,11.641479936,847,Market,Filled,9860.333505792,0,0,0,0,0,1 
2015-01-13T16:00:00Z,AMZN,301.4,32,Market,Filled,9644.8,0,0,0,0,0,1 
2015-01-13T16:00:00Z,BKNG,1062.98,9,Market,Filled,9566.82,0,0,0,0,0,1 
2015-01-13T16:00:00Z,STMP,48.16,204,Market,Filled,9824.64,0,0,0,0,0,1 
2015-01-13T17:00:00Z,EXPE,82.07335161,119,Market,Filled,9766.72884159,0,0,0,0,0,1 
2015-01-13T17:00:00Z,TRIP,64.961575275,151,Market,Filled,9809.197866525,0,0,0,0,0,1 
2015-01-13T18:00:00Z,EXPE,81.40817451,-119,Market,Filled,-9687.57276669,-0.0081046659719810119254370731,-0.0081046659719810119254370731,   0,-0.0081046659719810119254370731,-0.0089457595191207988135378284, 0.1 
2015-01-13T18:00:00Z,W,22.11,-435,Market,Filled,-9617.85,-0.0096959012780960775672102248,-0.0409872190392243278977523138,0.0193918025561921551344204495,-0.0255619215513442044953724108,0.0581424978011974572797204008, 0.9 
2015-01-13T19:00:00Z,BKNG,1034,-9,Market,Filled,-9306,-0.0066228903648234209486537846,-0.0272629776665600481664753805,0.0206400873017366272178215959,-0.0272629776665600481664753805,-0.0107800448230350046781241969,   0 
2015-01-13T19:00:00Z,EBAY,22.649179446758,-426,Market,Filled,-9648.5504443187,-0.0051436679673643135863781483,-0.0202199361475700603050727208,0.0150762681802057467186945725,-0.0202199361475700603050727208,-0.0117315134459222330724094277,   0 
2015-01-13T19:00:00Z,OSTK,23.28,-410,Market,Filled,-9544.8,0.0129005409904286308780690803,-0.0312109862671660424469413233,0.0441115272575946733250104036,-0.0312109862671660424469413233,-0.0142036970134765093763937995,   0 
2015-01-13T19:00:00Z,PETS,11.399955456,-847,Market,Filled,-9655.762271232,-0.0020746887966804979253112033,-0.0207468879668049792531120332,0.0186721991701244813278008299,-0.0207468879668049792531120332,-0.0169302596357451471687775032,   0 
2015-01-13T19:00:00Z,STMP,46.25,-204,Market,Filled,-9435,-0.0251245847176079734219269103,-0.0396594684385382059800664452,0.0145348837209302325581395349,-0.0396594684385382059800664452,-0.0089612289484009209209447596,   0 
2015-01-13T19:00:00Z,TRIP,63.289737335,-151,Market,Filled,-9556.750337585,-0.0093086926762491444216290212,-0.0257357973990417522245037645,0.0164271047227926078028747433,-0.0257357973990417522245037645,0.0071307541764196243115181439,0.888888888888889 
2015-01-13T19:00:00Z,W,22.09,443,Market,Filled,9785.87,0,0,0,0,0,1 
2015-01-13T20:00:00Z,W,22.02,-443,Market,Filled,-9754.86,-0.003168854685377999094612947,-0.003168854685377999094612947,   0,-0.003168854685377999094612947,0.051081313448622782067008257, 0.8 
2015-01-13T21:00:00Z,AMZN,292.73,-32,Market On Open,Filled,-9367.36,-0.0049104180491041804910418049,-0.0246516257465162574651625747,0.0197412076974120769741207698,-0.0220968812209688122096881221,-0.0058901190018096280791375734,   0 
2015-01-13T21:00:00Z,W,22,441,Market On Open,Filled,9702,0,0,0,0,0,1 
2015-01-14T17:00:00Z,STMP,46.68,210,Market,Filled,9802.8,0,0,0,0,0,1 
2015-01-14T17:00:00Z,W,22.18,-441,Market,Filled,-9781.38,0.0040522287257991895542548402,-0.0049527239981990094552003602,0.0090049527239981990094552004,-0.0013507429085997298514182801,0.0442019402737259337786155799, 0.7 
2015-01-14T19:00:00Z,STMP,46.09,-210,Market,Filled,-9678.9,-0.0004284490145672664952870608,-0.0126392459297343616109682948,0.0122107969151670951156812340,-0.0126392459297343616109682948,-0.0250168997504088504517697109,   0 
2015-01-14T19:00:00Z,W,22.24,440,Market,Filled,9785.6,0,0,0,0,0,1 
2015-01-16T16:00:00Z,GRPN,146.4,67,Market,Filled,9808.8,0,0,0,0,0,1 
